hid,smiles,heavy_atoms,total_atoms,smiles_length,rank
C069,Brc1ccoc1Br,7,7,11,0
C070,Brc1ccsc1Br,7,7,11,1
C115,Brc1cocc1Br,7,7,11,2
C094,Brc1ccc(Br)o1,7,7,13,3
C025,Brc1ccc(Br)s1,7,7,13,4
C100,Brc1cnc(Br)s1,7,7,13,5
C078,Brc1csc(Br)n1,7,7,13,6
C080,Brc1nnc(Br)s1,7,7,13,7
C002,Ic1ccc(I)cc1,8,8,12,8
C098,Brc1ccc(Br)nc1,8,8,14,9
C031,Brc1ccc(Br)nn1,8,8,14,10
C036,Brc1cccc(Br)c1,8,8,14,11
C041,Brc1cccc(Br)n1,8,8,14,12
C097,Brc1cnc(Br)cn1,8,8,14,13
C033,Brc1cnc(Br)nc1,8,8,14,14
C087,Cc1cc(Br)sc1Br,8,8,14,15
C065,Cc1csc(Br)c1Br,8,8,14,16
C133,Cn1nnc(Br)c1Br,8,8,14,17
C135,Nc1[nH]nc(Br)c1Br,8,8,17,18
C029,Cc1cc(Br)ccc1Br,9,9,15,19
C089,Cc1cc(Br)cnc1Br,9,9,15,20
C092,Cc1cc(Br)ncc1Br,9,9,15,21
C129,Cc1cc(Br)nnc1Br,9,9,15,22
C079,Cc1ccc(Br)cc1Br,9,9,15,23
C128,Cc1nc(Br)ccc1Br,9,9,15,24
