candidate_id,cap_id,bridge_id,core_id,product_smiles,cap_smiles,bridge_smiles,core_smiles,combined_heavy_atoms,combined_exact_mw,combined_rotatable_bonds,combined_aromatic_rings,combined_hetero_atoms,combined_clogp,combined_fraction_csp3,combined_tpsa
A014B065C094,A014,B065,C094,CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(N(C)C)cc3)o2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)o1,27.0,358.20451345199996,6.0,3.0,3.0,5.752400000000006,0.16666666666666666,19.62
A014B066C094,A014,B066,C094,CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(N(C)C)cc3)o2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)o1,27.0,358.20451345199996,6.0,3.0,3.0,5.752400000000006,0.16666666666666666,19.62
A014B065C069,A014,B065,C069,CN(C)c1ccc(C=Cc2ccoc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccoc1Br,27.0,358.204513452,6.0,3.0,3.0,5.752400000000007,0.16666666666666666,19.620000000000005
A014B065C115,A014,B065,C115,CN(C)c1ccc(C=Cc2cocc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1cocc1Br,27.0,358.204513452,6.0,3.0,3.0,5.752400000000007,0.16666666666666666,19.620000000000005
A014B066C069,A014,B066,C069,CN(C)c1ccc(C=Cc2ccoc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccoc1Br,27.0,358.204513452,6.0,3.0,3.0,5.752400000000007,0.16666666666666666,19.620000000000005
A014B066C115,A014,B066,C115,CN(C)c1ccc(C=Cc2cocc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1cocc1Br,27.0,358.204513452,6.0,3.0,3.0,5.752400000000007,0.16666666666666666,19.620000000000005
A014B065C025,A014,B065,C025,CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)s1,27.0,374.18166983199995,6.0,3.0,3.0,6.220900000000006,0.16666666666666666,6.48
A014B066C025,A014,B066,C025,CN(C)c1ccc(C=Cc2ccc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)s1,27.0,374.18166983199995,6.0,3.0,3.0,6.220900000000006,0.16666666666666666,6.48
A014B065C070,A014,B065,C070,CN(C)c1ccc(C=Cc2ccsc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccsc1Br,27.0,374.181669832,6.0,3.0,3.0,6.2209000000000065,0.16666666666666666,6.48
A014B066C070,A014,B066,C070,CN(C)c1ccc(C=Cc2ccsc2C=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccsc1Br,27.0,374.181669832,6.0,3.0,3.0,6.2209000000000065,0.16666666666666666,6.48
A014B065C078,A014,B065,C078,CN(C)c1ccc(C=Cc2csc(C=Cc3ccc(N(C)C)cc3)n2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1csc(Br)n1,27.0,375.17691880000007,6.0,3.0,4.0,5.615900000000006,0.17391304347826086,19.37
A014B065C100,A014,B065,C100,CN(C)c1ccc(C=Cc2cnc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1cnc(Br)s1,27.0,375.17691880000007,6.0,3.0,4.0,5.615900000000005,0.17391304347826086,19.370000000000005
A014B066C078,A014,B066,C078,CN(C)c1ccc(C=Cc2csc(C=Cc3ccc(N(C)C)cc3)n2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1csc(Br)n1,27.0,375.17691880000007,6.0,3.0,4.0,5.615900000000006,0.17391304347826086,19.37
A014B066C100,A014,B066,C100,CN(C)c1ccc(C=Cc2cnc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1cnc(Br)s1,27.0,375.17691880000007,6.0,3.0,4.0,5.615900000000005,0.17391304347826086,19.370000000000005
A014B065C080,A014,B065,C080,CN(C)c1ccc(C=Cc2nnc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1nnc(Br)s1,27.0,376.172167768,6.0,3.0,5.0,5.010900000000005,0.18181818181818182,32.260000000000005
A014B066C080,A014,B066,C080,CN(C)c1ccc(C=Cc2nnc(C=Cc3ccc(N(C)C)cc3)s2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1nnc(Br)s1,27.0,376.172167768,6.0,3.0,5.0,5.010900000000005,0.18181818181818182,32.260000000000005
A014B065C036,A014,B065,C036,CN(C)c1ccc(C=Cc2cccc(C=Cc3ccc(N(C)C)cc3)c2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1cccc(Br)c1,28.0,368.225248896,6.0,3.0,2.0,6.159400000000007,0.15384615384615385,6.48
A014B066C036,A014,B066,C036,CN(C)c1ccc(C=Cc2cccc(C=Cc3ccc(N(C)C)cc3)c2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1cccc(Br)c1,28.0,368.225248896,6.0,3.0,2.0,6.159400000000007,0.15384615384615385,6.48
A014B065C041,A014,B065,C041,CN(C)c1ccc(C=Cc2cccc(C=Cc3ccc(N(C)C)cc3)n2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1cccc(Br)n1,28.0,369.22049786400004,6.0,3.0,3.0,5.554400000000006,0.16,19.37
A014B066C041,A014,B066,C041,CN(C)c1ccc(C=Cc2cccc(C=Cc3ccc(N(C)C)cc3)n2)cc1,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1cccc(Br)n1,28.0,369.22049786400004,6.0,3.0,3.0,5.554400000000006,0.16,19.37
A042B065C094,A042,B065,C094,Cn1ccc2cc(C=Cc3ccc(C=Cc4ccc5c(ccn5C)c4)o3)ccc21,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)o1,29.0,378.17321332399996,4.0,5.0,3.0,6.603800000000006,0.07692307692307693,23.0
A042B066C094,A042,B066,C094,Cn1ccc2cc(C=Cc3ccc(C=Cc4ccc5c(ccn5C)c4)o3)ccc21,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccc(Br)o1,29.0,378.17321332399996,4.0,5.0,3.0,6.603800000000006,0.07692307692307693,23.0
A042B065C069,A042,B065,C069,Cn1ccc2cc(C=Cc3ccoc3C=Cc3ccc4c(ccn4C)c3)ccc21,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1ccoc1Br,29.0,378.173213324,4.0,5.0,3.0,6.603800000000006,0.07692307692307693,23.0
A042B065C115,A042,B065,C115,Cn1ccc2cc(C=Cc3cocc3C=Cc3ccc4c(ccn4C)c3)ccc21,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,Brc1cocc1Br,29.0,378.173213324,4.0,5.0,3.0,6.603800000000006,0.07692307692307693,23.0
A042B066C069,A042,B066,C069,Cn1ccc2cc(C=Cc3ccoc3C=Cc3ccc4c(ccn4C)c3)ccc21,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,Brc1ccoc1Br,29.0,378.173213324,4.0,5.0,3.0,6.603800000000006,0.07692307692307693,23.0
