hid,smiles,CAS,compatible_with_gen_2,heavy_atoms,exact_mw,hetero_atoms,aromatic_rings,rotatable_bonds,tpsa,clogp,fraction_csp3,ring_count,halogen_count,boron_count,reactive_sites_ok,reactive_note,size_rank_key
C069,Brc1ccoc1Br,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8045999999999998,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C069')"
C094,Brc1ccc(Br)o1,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8046000000000006,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C094')"
C115,Brc1cocc1Br,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8045999999999998,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C115')"
C025,Brc1ccc(Br)s1,3141-27-3,True,7.0,239.824395264,3.0,1.0,0.0,0.0,3.2731000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 239.824395264, 0.0, 'C025')"
C070,Brc1ccsc1Br,3140-93-0,True,7.0,239.824395264,3.0,1.0,0.0,0.0,3.2731000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 239.824395264, 0.0, 'C070')"
C078,Brc1csc(Br)n1,4175-77-3,True,7.0,240.819644232,4.0,1.0,0.0,12.89,2.6681,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 240.819644232, 0.0, 'C078')"
C100,Brc1cnc(Br)s1,4175-78-4,True,7.0,240.819644232,4.0,1.0,0.0,12.89,2.6681,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 240.819644232, 0.0, 'C100')"
C080,Brc1nnc(Br)s1,,True,7.0,241.8148932,5.0,1.0,0.0,25.78,2.0631,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 241.8148932, 0.0, 'C080')"
C036,Brc1cccc(Br)c1,108-36-1,True,8.0,233.867974328,2.0,1.0,0.0,0.0,3.2116000000000007,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 233.867974328, 0.0, 'C036')"
C041,Brc1cccc(Br)n1,626-05-1,True,8.0,234.863223296,3.0,1.0,0.0,12.89,2.6066000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 234.863223296, 0.0, 'C041')"
