hid,smiles,CAS,compatible_with_gen_2,heavy_atoms,exact_mw,hetero_atoms,aromatic_rings,rotatable_bonds,tpsa,clogp,fraction_csp3,ring_count,halogen_count,boron_count,reactive_sites_ok,reactive_note,size_rank_key
C069,Brc1ccoc1Br,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8045999999999998,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C069')"
C094,Brc1ccc(Br)o1,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8046000000000006,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C094')"
C115,Brc1cocc1Br,,True,7.0,223.847238884,3.0,1.0,0.0,13.14,2.8045999999999998,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 223.847238884, 0.0, 'C115')"
C025,Brc1ccc(Br)s1,3141-27-3,True,7.0,239.824395264,3.0,1.0,0.0,0.0,3.2731000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 239.824395264, 0.0, 'C025')"
C070,Brc1ccsc1Br,3140-93-0,True,7.0,239.824395264,3.0,1.0,0.0,0.0,3.2731000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 239.824395264, 0.0, 'C070')"
C078,Brc1csc(Br)n1,4175-77-3,True,7.0,240.819644232,4.0,1.0,0.0,12.89,2.6681,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 240.819644232, 0.0, 'C078')"
C100,Brc1cnc(Br)s1,4175-78-4,True,7.0,240.819644232,4.0,1.0,0.0,12.89,2.6681,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 240.819644232, 0.0, 'C100')"
C080,Brc1nnc(Br)s1,,True,7.0,241.8148932,5.0,1.0,0.0,25.78,2.0631,0.0,1.0,2.0,0.0,True,reactive halides=2,"(7.0, 241.8148932, 0.0, 'C080')"
C036,Brc1cccc(Br)c1,108-36-1,True,8.0,233.867974328,2.0,1.0,0.0,0.0,3.2116000000000007,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 233.867974328, 0.0, 'C036')"
C041,Brc1cccc(Br)n1,626-05-1,True,8.0,234.863223296,3.0,1.0,0.0,12.89,2.6066000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 234.863223296, 0.0, 'C041')"
C098,Brc1ccc(Br)nc1,624-28-2,True,8.0,234.863223296,3.0,1.0,0.0,12.89,2.6066000000000003,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 234.863223296, 0.0, 'C098')"
C125,Oc1cc(Br)cc(Br)c1,626-41-5,True,9.0,249.862888948,3.0,1.0,0.0,20.23,2.9172000000000002,0.0,1.0,2.0,0.0,True,reactive halides=2,"(9.0, 249.862888948, 0.0, 'C125')"
C018,Fc1cc(Br)ccc1Br,1435-52-5,True,9.0,251.858552516,3.0,1.0,0.0,0.0,3.3507000000000007,0.0,1.0,3.0,0.0,True,reactive halides=2,"(9.0, 251.858552516, 0.0, 'C018')"
C071,Fc1ccc(Br)cc1Br,1435-53-6,True,9.0,251.858552516,3.0,1.0,0.0,0.0,3.3507000000000007,0.0,1.0,3.0,0.0,True,reactive halides=2,"(9.0, 251.858552516, 0.0, 'C071')"
C117,Fc1ncc(Br)cc1Br,,True,9.0,252.853801484,4.0,1.0,0.0,12.89,2.7457000000000003,0.0,1.0,3.0,0.0,True,reactive halides=2,"(9.0, 252.853801484, 0.0, 'C117')"
C023,Nc1cc(Br)ccc1Br,3638-73-1,True,9.0,248.87887336,3.0,1.0,0.0,26.02,2.7938,0.0,1.0,2.0,0.0,True,reactive halides=2,"(9.0, 248.87887336, 0.0, 'C023')"
C107,Nc1c(Br)cccc1Br,608-30-0,True,9.0,248.87887336,3.0,1.0,0.0,26.02,2.7938,0.0,1.0,2.0,0.0,True,reactive halides=2,"(9.0, 248.87887336, 0.0, 'C107')"
C031,Brc1ccc(Br)nn1,17973-86-3,True,8.0,235.858472264,4.0,1.0,0.0,25.78,2.0016,0.0,1.0,2.0,0.0,True,reactive halides=2,"(8.0, 235.858472264, 0.0, 'C031')"
