hid,smiles,CAS,compatible_with_gen_2,heavy_atoms,exact_mw,hetero_atoms,aromatic_rings,rotatable_bonds,tpsa,clogp,fraction_csp3,ring_count,halogen_count,boron_count,reactive_sites_ok,reactive_note,size_rank_key
A014,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,171364-78-6,True,18.0,247.174359344,4.0,1.0,2.0,21.700000000000003,2.0518,0.5714285714285714,2.0,0.0,1.0,True,one boron handle,"(18.0, 247.174359344, 2.0, 'A014')"
A042,Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,837392-62-8,True,19.0,257.15870928000004,4.0,2.0,1.0,23.39,2.4775,0.4666666666666667,3.0,0.0,1.0,True,one boron handle,"(19.0, 257.15870928000004, 1.0, 'A042')"
A041,Cn1cnc2ccc(B3OC(C)(C)C(C)(C)O3)cc21,,True,19.0,258.153958248,5.0,2.0,1.0,36.28,1.8724999999999998,0.5,3.0,0.0,1.0,True,one boron handle,"(19.0, 258.153958248, 1.0, 'A041')"
A031,CC1(C)OB(c2ccc(-n3ccnc3)cc2)OC1(C)C,,True,20.0,270.15395824800004,5.0,2.0,2.0,36.28,2.1715,0.4,3.0,0.0,1.0,True,one boron handle,"(20.0, 270.15395824800004, 2.0, 'A031')"
A015,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c2ccccc12,1007126-41-1,True,22.0,297.19000940800004,4.0,2.0,2.0,21.700000000000003,3.205000000000002,0.4444444444444444,3.0,0.0,1.0,True,one boron handle,"(22.0, 297.19000940800004, 2.0, 'A015')"
A039,CCn1c2ccccc2c2cc(B3OC(C)(C)C(C)(C)O3)ccc21,,True,24.0,321.190009408,4.0,3.0,2.0,23.39,4.1136000000000035,0.4,4.0,0.0,1.0,True,one boron handle,"(24.0, 321.190009408, 2.0, 'A039')"
A032,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,777061-36-6,True,25.0,343.19548871199993,6.0,2.0,1.0,49.69,3.7237000000000027,0.5263157894736842,3.0,0.0,1.0,True,one boron handle,"(25.0, 343.19548871199993, 1.0, 'A032')"
A004,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,1218791-29-7,True,29.0,395.2267888399999,6.0,2.0,3.0,48.0,5.059000000000005,0.43478260869565216,3.0,0.0,1.0,True,one boron handle,"(29.0, 395.2267888399999, 3.0, 'A004')"
A020,CC1(C)OB(c2ccc(N3c4ccccc4Oc4ccccc43)cc2)OC1(C)C,,True,29.0,385.184924028,5.0,3.0,2.0,30.930000000000003,5.561300000000005,0.25,5.0,0.0,1.0,True,one boron handle,"(29.0, 385.184924028, 2.0, 'A020')"
A025,CC1(C)OB(c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)OC1(C)C,,True,30.0,397.184924028,5.0,4.0,2.0,40.46,4.443100000000004,0.24,5.0,0.0,1.0,True,one boron handle,"(30.0, 397.184924028, 2.0, 'A025')"
A001,CC1(C)OB(c2ccc(-n3c4ccccc4c4ccccc43)cc2)OC1(C)C,785051-54-9,True,28.0,369.190009408,4.0,4.0,2.0,23.39,5.082900000000004,0.25,5.0,0.0,1.0,True,one boron handle,"(28.0, 369.190009408, 2.0, 'A001')"
A008,CC1(C)OB(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)OC1(C)C,1126522-69-7,True,28.0,369.190009408,4.0,4.0,2.0,23.39,5.082900000000005,0.25,5.0,0.0,1.0,True,one boron handle,"(28.0, 369.190009408, 2.0, 'A008')"
