hid,smiles,CAS,compatible_with_gen_2,heavy_atoms,exact_mw,hetero_atoms,aromatic_rings,rotatable_bonds,tpsa,clogp,fraction_csp3,ring_count,halogen_count,boron_count,reactive_sites_ok,reactive_note,size_rank_key
B065,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,,True,18.0,317.04340052400005,7.0,0.0,1.0,52.6,1.4905,0.6363636363636364,2.0,1.0,1.0,True,reactive halides after boron stripping=1,"(18.0, 317.04340052400005, 1.0, 'B065')"
B066,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,,True,18.0,317.04340052400005,7.0,0.0,1.0,52.6,1.4905,0.6363636363636364,2.0,1.0,1.0,True,reactive halides after boron stripping=1,"(18.0, 317.04340052400005, 1.0, 'B066')"
B067,CC1(C)C(=O)O[B-]2(c3cc(Br)no3)OC(=O)C(C)(C)[N+]21C,,True,21.0,358.03356411199997,9.0,1.0,1.0,78.63,0.7003999999999997,0.5833333333333334,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(21.0, 358.03356411199997, 1.0, 'B067')"
B056,CC1(C)C(=O)O[B-]2(c3ccc(Br)s3)OC(=O)C(C)(C)[N+]21C,,True,21.0,373.015471524,8.0,1.0,1.0,52.6,1.7738999999999998,0.5384615384615384,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(21.0, 373.015471524, 1.0, 'B056')"
B057,CC1(C)C(=O)O[B-]2(c3cscc3Br)OC(=O)C(C)(C)[N+]21C,,True,21.0,373.015471524,8.0,1.0,1.0,52.6,1.7739,0.5384615384615384,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(21.0, 373.015471524, 1.0, 'B057')"
B037,CC1(C)C(=O)O[B-]2(c3ccc(Br)cc3)OC(=O)C(C)(C)[N+]21C,,True,22.0,367.05905058800005,7.0,1.0,1.0,52.6,1.7124,0.4666666666666667,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(22.0, 367.05905058800005, 1.0, 'B037')"
B049,CC1(C)C(=O)O[B-]2(c3cc(Br)ccc3F)OC(=O)C(C)(C)[N+]21C,,True,23.0,385.04962877599996,8.0,1.0,1.0,52.6,1.8515,0.4666666666666667,3.0,2.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 385.04962877599996, 1.0, 'B049')"
B046,CC1(C)C(=O)O[B-]2(c3cc(F)cc(Br)c3)OC(=O)C(C)(C)[N+]21C,,True,23.0,385.049628776,8.0,1.0,1.0,52.6,1.8515,0.4666666666666667,3.0,2.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 385.049628776, 1.0, 'B046')"
B048,CC1(C)C(=O)O[B-]2(c3c(F)cccc3Br)OC(=O)C(C)(C)[N+]21C,,True,23.0,385.049628776,8.0,1.0,1.0,52.6,1.8515000000000001,0.4666666666666667,3.0,2.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 385.049628776, 1.0, 'B048')"
B062,CC1(C)C(=O)O[B-]2(c3cccc(Br)c3F)OC(=O)C(C)(C)[N+]21C,,True,23.0,385.049628776,8.0,1.0,1.0,52.6,1.8515,0.4666666666666667,3.0,2.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 385.049628776, 1.0, 'B062')"
B043,Cc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,,True,23.0,381.07470065199993,7.0,1.0,1.0,52.60000000000001,2.0208199999999996,0.5,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 381.07470065199993, 1.0, 'B043')"
B032,Cc1c(Br)cccc1[B-]12OC(=O)C(C)(C)[N+]1(C)C(C)(C)C(=O)O2,,True,23.0,381.074700652,7.0,1.0,1.0,52.60000000000001,2.0208199999999996,0.5,3.0,1.0,1.0,True,reactive halides after boron stripping=1,"(23.0, 381.074700652, 1.0, 'B032')"
