candidate_id,R1,R2,R3,ligand_smiles
P_0001,Me,Me,Me,CP(C)C
P_0002,Me,Me,Ph,CP(C)c1ccccc1
P_0003,Me,Ph,Ph,CP(c1ccccc1)c1ccccc1
P_0004,Ph,Ph,Ph,P(c1ccccc1)(c1ccccc1)c1ccccc1
P_0005,tBu,tBu,Ph,CC(C)(C)P(C(C)(C)C)c1ccccc1
P_0006,Me,Me,Et,P(C)(C)CC
P_0007,Me,Me,iPr,P(C)(C)C(C)C
P_0008,Me,Me,tBu,P(C)(C)C(C)(C)C
P_0009,Me,Me,Cy,P(C)(C)C1CCCCC1
P_0010,Me,Me,pMePh,P(C)(C)c1ccc(C)cc1
P_0011,Me,Me,pOMePh,P(C)(C)c1ccc(OC)cc1
P_0012,Me,Me,pFPh,P(C)(C)c1ccc(F)cc1
P_0013,Me,Me,pClPh,P(C)(C)c1ccc(Cl)cc1
P_0014,Me,Me,pCF3Ph,P(C)(C)c1ccc(C(F)(F)F)cc1
P_0015,Me,Me,pCNPh,P(C)(C)c1ccc(C#N)cc1
P_0016,Me,Et,Et,P(C)(CC)CC
P_0017,Me,Et,iPr,P(C)(CC)C(C)C
P_0018,Me,Et,tBu,P(C)(CC)C(C)(C)C
P_0019,Me,Et,Cy,P(C)(CC)C1CCCCC1
P_0020,Me,Et,Ph,P(C)(CC)c1ccccc1
P_0021,Me,Et,pMePh,P(C)(CC)c1ccc(C)cc1
P_0022,Me,Et,pOMePh,P(C)(CC)c1ccc(OC)cc1
P_0023,Me,Et,pFPh,P(C)(CC)c1ccc(F)cc1
P_0024,Me,Et,pClPh,P(C)(CC)c1ccc(Cl)cc1
P_0025,Me,Et,pCF3Ph,P(C)(CC)c1ccc(C(F)(F)F)cc1
P_0026,Me,Et,pCNPh,P(C)(CC)c1ccc(C#N)cc1
P_0027,Me,iPr,iPr,P(C)(C(C)C)C(C)C
P_0028,Me,iPr,tBu,P(C)(C(C)C)C(C)(C)C
P_0029,Me,iPr,Cy,P(C)(C(C)C)C1CCCCC1
P_0030,Me,iPr,Ph,P(C)(C(C)C)c1ccccc1
P_0031,Me,iPr,pMePh,P(C)(C(C)C)c1ccc(C)cc1
P_0032,Me,iPr,pOMePh,P(C)(C(C)C)c1ccc(OC)cc1
P_0033,Me,iPr,pFPh,P(C)(C(C)C)c1ccc(F)cc1
P_0034,Me,iPr,pClPh,P(C)(C(C)C)c1ccc(Cl)cc1
P_0035,Me,iPr,pCF3Ph,P(C)(C(C)C)c1ccc(C(F)(F)F)cc1
P_0036,Me,iPr,pCNPh,P(C)(C(C)C)c1ccc(C#N)cc1
P_0037,Me,tBu,tBu,P(C)(C(C)(C)C)C(C)(C)C
P_0038,Me,tBu,Cy,P(C)(C(C)(C)C)C1CCCCC1
P_0039,Me,tBu,Ph,P(C)(C(C)(C)C)c1ccccc1
P_0040,Me,tBu,pMePh,P(C)(C(C)(C)C)c1ccc(C)cc1
P_0041,Me,tBu,pOMePh,P(C)(C(C)(C)C)c1ccc(OC)cc1
P_0042,Me,tBu,pFPh,P(C)(C(C)(C)C)c1ccc(F)cc1
