exit_code=0

=== stdout (raw) ===
2026-08-04 00:20:24 1544 ./molecules/https_elagente.ca_grafico_QCMolecule_e4fd262c-225a-45fb-820f-dd98e1049858.xyz
2026-08-04 00:20:24 -1 ./molecules
2026-08-04 00:20:24 -1 ./
2026-08-04 00:20:24 1468432 /app/domains/pyscf/chkfiles/38c376bc-0e8e-42ae-afe7-d4dac6e1d211.chk
2026-08-04 00:20:24 1468432 /app/domains/pyscf/chkfiles/38c376bc-0e8e-42ae-afe7-d4dac6e1d211.chk
2026-08-04 00:20:15 -1 /app/domains/pyscf/chkfiles/
2026-08-04 00:20:15 -1 /app/domains/pyscf/chkfiles
2026-08-04 00:19:56 24731 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest.out
2026-08-04 00:19:56 0 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest.err
2026-08-04 00:19:56 -1 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f
2026-08-04 00:19:56 5736 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest.restart
2026-08-04 00:19:56 5052 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_rotamers.xyz
2026-08-04 00:19:56 2496 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_conformers.xyz
2026-08-04 00:19:56 2496 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_best.xyz
2026-08-04 00:19:56 18 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest.energies
2026-08-04 00:19:56 39 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/cre_members
2026-08-04 00:19:56 122 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/ensemble_energies.log
2026-08-04 00:19:56 2493 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/confcross.xyz
2026-08-04 00:19:48 60096 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_dynamics.trj
2026-08-04 00:18:12 5079 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_0.mdrestart
2026-08-04 00:18:04 1290016 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/gfnff_topo
2026-08-04 00:18:04 279 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/gfnff_adjacency
2026-08-04 00:18:04 10094 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/wbo
2026-08-04 00:18:04 3052 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/coord
2026-08-04 00:18:04 2477 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_input_copy.xyz
2026-08-04 00:18:04 131 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest.toml
2026-08-04 00:18:04 1508 /app/crest_workdir/ConceptualAtoms_17eb6576-38db-4100-a23b-b742aac4068f/crest_mol.xyz
2026-08-04 00:18:04 -1 /app/crest_workdir
2026-08-04 00:18:04 -1 /app/
2026-08-04 00:02:47 1276237 ./pollice_2021_geometry_available.csv
2026-08-03 23:43:31 25120 /app/domains/pyscf/chkfiles/66dc7766-76b0-4cb2-a5d7-932d9eed0c3c.chk
2026-08-03 23:43:31 25120 /app/domains/pyscf/chkfiles/66dc7766-76b0-4cb2-a5d7-932d9eed0c3c.chk
2026-08-03 23:43:18 10528 /app/domains/pyscf/chkfiles/2fbe6cbe-ab79-4907-baa5-338174d462c4.chk
2026-08-03 23:43:18 10528 /app/domains/pyscf/chkfiles/2fbe6cbe-ab79-4907-baa5-338174d462c4.chk
2026-08-03 23:42:39 10528 /app/domains/pyscf/chkfiles/3773bb0d-fbdb-45a5-bdb7-77e48ac5bb2b.chk
2026-08-03 23:42:39 10528 /app/domains/pyscf/chkfiles/3773bb0d-fbdb-45a5-bdb7-77e48ac5bb2b.chk
2026-08-03 23:42:25 7055 /app/grafico/core/gpu/__pycache__/_child_worker.cpython-312.pyc
2026-08-03 23:42:25 -1 /app/grafico/core/gpu/__pycache__
2026-08-03 23:41:10 7167 /app/domains/mofs/__pycache__/workflow_models.cpython-312.pyc
2026-08-03 23:41:10 -1 /app/domains/mofs/__pycache__
2026-08-03 23:41:10 90971 /app/domains/mofs/__pycache__/ontomofs.cpython-312.pyc
2026-08-03 23:41:10 126 /app/domains/mofs/__pycache__/__init__.cpython-312.pyc
2026-08-03 23:41:10 -1 /app/domains/mofs
2026-08-03 23:40:24 18616 /app/domains/bo_mcp/__pycache__/client.cpython-312.pyc
2026-08-03 23:40:24 -1 /app/domains/bo_mcp/__pycache__
2026-08-03 23:40:24 4591 /app/grafico.egg-info/SOURCES.txt
2026-08-03 23:40:24 16 /app/grafico.egg-info/top_level.txt
2026-08-03 23:40:24 1475 /app/grafico.egg-info/requires.txt
2026-08-03 23:40:24 -1 /app/grafico.egg-info
2026-08-03 23:40:24 1 /app/grafico.egg-info/dependency_links.txt
2026-08-03 23:40:24 4197 /app/grafico.egg-info/PKG-INFO


=== stderr (raw) ===


=== stderr (model-visible) ===
