exit_code=0

=== stdout (raw) ===
144
| 1 | eth__Me__Me | ethylene | Me | Me | Me2P-ethylene-PMe2 | yes |
| 2 | eth__Me__Et | ethylene | Me | Et | Me2P-ethylene-PEt2 | no |
| 3 | eth__Me__iPr | ethylene | Me | iPr | Me2P-ethylene-PiPr2 | no |
| 4 | eth__Me__Cy | ethylene | Me | Cy | Me2P-ethylene-PCy2 | no |
| 5 | eth__Me__Ph | ethylene | Me | Ph | Me2P-ethylene-PPh2 | no |
| 6 | eth__Me__pTol | ethylene | Me | p-Tol | Me2P-ethylene-Pp-Tol2 | no |
| 7 | eth__Me__pAnisyl | ethylene | Me | p-Anisyl | Me2P-ethylene-Pp-Anisyl2 | no |
| 8 | eth__Me__pCF3Ph | ethylene | Me | p-CF3-Ph | Me2P-ethylene-Pp-CF3-Ph2 | no |
| 9 | eth__Et__Et | ethylene | Et | Et | Et2P-ethylene-PEt2 | yes |
| 10 | eth__Et__iPr | ethylene | Et | iPr | Et2P-ethylene-PiPr2 | no |
| 11 | eth__Et__Cy | ethylene | Et | Cy | Et2P-ethylene-PCy2 | no |
| 12 | eth__Et__Ph | ethylene | Et | Ph | Et2P-ethylene-PPh2 | no |
| 13 | eth__Et__pTol | ethylene | Et | p-Tol | Et2P-ethylene-Pp-Tol2 | no |
| 14 | eth__Et__pAnisyl | ethylene | Et | p-Anisyl | Et2P-ethylene-Pp-Anisyl2 | no |
| 15 | eth__Et__pCF3Ph | ethylene | Et | p-CF3-Ph | Et2P-ethylene-Pp-CF3-Ph2 | no |
| 16 | eth__iPr__iPr | ethylene | iPr | iPr | iPr2P-ethylene-PiPr2 | yes |
| 17 | eth__iPr__Cy | ethylene | iPr | Cy | iPr2P-ethylene-PCy2 | no |
| 18 | eth__iPr__Ph | ethylene | iPr | Ph | iPr2P-ethylene-PPh2 | no |
| 19 | eth__iPr__pTol | ethylene | iPr | p-Tol | iPr2P-ethylene-Pp-Tol2 | no |
