i,element_i,j,element_j,distance_A
26,H,37,H,0.475079
26,H,35,C,0.643351
9,C,12,H,1.070047
10,C,15,H,1.070047
20,C,26,H,1.095582
35,C,36,H,1.096950
39,C,41,H,1.097679
19,C,23,H,1.097862
35,C,38,H,1.098818
31,C,34,H,1.099363
39,C,42,H,1.099454
18,C,22,H,1.099500
27,C,28,H,1.099727
19,C,24,H,1.100727
20,C,25,H,1.101363
18,C,21,H,1.101544
39,C,40,H,1.101681
31,C,33,H,1.102089
9,C,13,H,1.102270
10,C,16,H,1.102270
27,C,30,H,1.102996
31,C,32,H,1.104264
35,C,37,H,1.106978
7,C,11,H,1.107926
9,C,14,H,1.108208
10,C,17,H,1.108208
27,C,29,H,1.110766
20,C,37,H,1.210207
4,O,6,C,1.216306
5,O,8,C,1.216306
6,C,7,C,1.373863
7,C,8,C,1.373863
20,C,35,C,1.398428
26,H,36,H,1.444784
6,C,9,C,1.464582
8,C,10,C,1.464582
26,H,38,H,1.490537
18,C,19,C,1.496162
19,C,20,C,1.518585
3,P,20,C,1.593142
25,H,37,H,1.603060
3,P,40,H,1.704729
3,P,22,H,1.723775
12,H,13,H,1.733494
15,H,16,H,1.733494
12,H,14,H,1.737275
15,H,17,H,1.737275
41,H,42,H,1.761391
33,H,34,H,1.767484
28,H,29,H,1.770819
2,P,22,H,1.776051
13,H,14,H,1.776408
16,H,17,H,1.776408
29,H,30,H,1.781123
36,H,37,H,1.788267
6,C,11,H,1.791647
25,H,26,H,1.795801
40,H,41,H,1.798889
36,H,38,H,1.798972
37,H,38,H,1.804328
2,P,18,C,1.805966
32,H,33,H,1.809530
32,H,34,H,1.809530
40,H,42,H,1.829781
3,P,39,C,1.844831
8,C,11,H,1.849324
28,H,30,H,1.849811
23,H,24,H,1.853564
2,P,27,C,1.869897
1,Co,4,O,1.880665
1,Co,5,O,1.880665
2,P,31,C,1.892001
3,P,35,C,1.895073
30,H,34,H,1.933546
19,C,21,H,1.965986
24,H,36,H,1.985094
38,H,42,H,1.986580
21,H,22,H,1.995620
21,H,23,H,2.002149
3,P,19,C,2.002648
4,O,7,C,2.004221
5,O,7,C,2.004221
38,H,39,C,2.031280
3,P,24,H,2.081009
6,C,12,H,2.110687
8,C,15,H,2.110687
18,C,23,H,2.125418
20,C,24,H,2.131314
19,C,25,H,2.138153
6,C,14,H,2.142574
8,C,17,H,2.142574
20,C,23,H,2.144341
20,C,36,H,2.145251
19,C,22,H,2.146206
3,P,26,H,2.150953
18,C,24,H,2.158263
6,C,13,H,2.159861
8,C,16,H,2.159861
1,Co,2,P,2.160000
30,H,31,C,2.162499
1,Co,3,P,2.180573
3,P,18,C,2.207329
19,C,26,H,2.207397
29,H,32,H,2.226791
27,C,31,C,2.281096
20,C,38,H,2.283725
