"param_candidate_id","obj_electronic_activation","obj_coordination_stability","obj_chelate_geometry","obj_steric_crowding","result_id","suggestion_id","created_at"
"eth__Me__Me","-0.08263508031848854","9.989296189252297","8.51758501228108","9.0","b7a9e331-44eb-48a6-888f-15e861ed88c8","","2026-08-10T15:21:03.612978+00:00"
"prop__iPr__Ph","-100.0","-100.0","-100.0","100.0","133ae492-1e16-4d1a-a53d-fc59d555b51d","","2026-08-10T15:28:00.008441+00:00"
"ophen__pAnisyl__pCF3Ph","-100.0","-100.0","-100.0","100.0","3ddb0c07-12af-432e-aaa9-81c80eff3723","","2026-08-10T15:36:34.898366+00:00"
"cchex__Cy__pTol","-100.0","-100.0","-100.0","100.0","33b63d8c-bda6-41d0-9b53-e66cb130f29a","","2026-08-10T15:46:10.223246+00:00"
"eth__Et__Et","0.16914626730929117","9.756678857986092","8.394435445172117","8.0","034ae494-9a11-4827-9e51-5750bdc7e550","505d2754-5cc5-4e9b-a8b8-61ffecc08360","2026-08-10T16:32:35.213862+00:00"
"prop__Me__Me","-100.0","-100.0","-100.0","100.0","a4af671e-cce1-4e83-9281-bc500936a6a2","dc147dd8-2143-4ea0-93f4-3676f06b5501","2026-08-10T16:37:42.068514+00:00"
"eth__iPr__iPr","0.19177037191740576","9.605045916719781","8.606335928605834","10.0","9d26a99e-d165-41ec-a9d3-ed2b9b4d603d","686466d5-3ed7-4d12-9def-b7c5199063ab","2026-08-10T17:41:51.593154+00:00"
"eth__Cy__Cy","-100.0","-100.0","-100.0","100.0","39447098-60fb-4af0-9ddb-3b3644a1a092","78b07233-7ebb-455b-a825-87824f3cdae4","2026-08-10T17:52:30.527662+00:00"
"eth__Me__Et","-0.050766882515447254","9.556389871669603","8.420341463510127","8.0","b4f46e2c-b1bb-4ffa-833f-01fc762fabfa","d4704620-cfc0-4fb2-8862-4eeec2e5bf7b","2026-08-10T18:22:01.697891+00:00"
"eth__Et__iPr","0.12044581124725351","9.425679875482798","8.515539737255596","10.0","2574afa8-bbaf-494f-9257-3c3d322343f4","4fc3823a-f49e-44d3-8fe6-001a61e6abbb","2026-08-10T19:06:59.327050+00:00"
"eth__Me__iPr","0.0490996638457224","9.198942500512977","8.532293900105984","10.0","895dc0b0-3bf0-4c2d-a2d6-21cf831cdf9b","ffd34ceb-52f1-42ea-bd5a-71a73ae9c2e5","2026-08-10T19:41:01.726735+00:00"
"eth__Et__Cy","-100.0","-100.0","-100.0","100.0","a8abb402-f241-4fa5-a8c1-21363c784155","0b301f60-dd12-4266-8426-030712021c16","2026-08-10T19:49:22.830217+00:00"
"prop__Me__iPr","-100.0","-100.0","-100.0","100.0","4994545e-0f24-4be7-a970-113414e19259","f305d098-05dd-418b-8afe-0a24f567a20e","2026-08-10T20:02:16.647747+00:00"
"eth__pCF3Ph__pCF3Ph","-100.0","-100.0","-100.0","100.0","cf39be4a-219e-40dc-84b2-f5f3e98a5d21","2c49fbf9-cf23-439a-a639-34964b89098a","2026-08-10T22:05:53.385055+00:00"
