iteration,candidate,phase,feasible,electronic_activation,best_feasible_electronic_activation_so_far
1,eth__Me__Me,warm_start,True,-0.08263508031848854,-0.08263508031848854
2,prop__iPr__Ph,warm_start,False,-100.0,-0.08263508031848854
3,ophen__pAnisyl__pCF3Ph,warm_start,False,-100.0,-0.08263508031848854
4,cchex__Cy__pTol,warm_start,False,-100.0,-0.08263508031848854
5,eth__Et__Et,bo,True,0.16914626730929117,0.16914626730929117
6,prop__Me__Me,bo,False,-100.0,0.16914626730929117
7,eth__iPr__iPr,bo,True,0.19177037191740576,0.19177037191740576
8,eth__Cy__Cy,bo,False,-100.0,0.19177037191740576
9,eth__Me__Et,bo,True,-0.050766882515447254,0.19177037191740576
10,eth__Et__iPr,bo,True,0.12044581124725351,0.19177037191740576
11,eth__Me__iPr,bo,True,0.0490996638457224,0.19177037191740576
12,eth__Et__Cy,bo,False,-100.0,0.19177037191740576
13,prop__Me__iPr,bo,False,-100.0,0.19177037191740576
