param_candidate_id,obj_electronic_activation,obj_coordination_stability,obj_chelate_geometry,obj_steric_crowding,result_id,suggestion_id,created_at,iteration,phase,feasible_like,hypervolume,hypervolume_normalized_to_final,pareto_set_size_so_far,best_equal_weight_normalized_utility_so_far
eth__Me__Me,0.0,9.75000023841858,9.441886349167763,7.0,9980be27-938b-4bb8-bb88-e3438331cae5,,2026-08-06 19:11:26.057160+00:00,1,warm-start,True,116125281.2916294,0.9998883768443212,1,0.9999717303758987
prop__iPr__Ph,0.0,9.500000476837158,9.454376363968365,8.0,7527b591-ade6-4da3-9271-8a4838ae97b5,,2026-08-06 19:27:40.972556+00:00,2,warm-start,True,116138245.00903231,1.0,2,0.9999717303758987
ophen__pAnisyl__pCF3Ph,-100.0,-100.0,-100.0,100.0,43854279-46da-4513-9294-96d66f1b4fad,,2026-08-06 19:58:20.689201+00:00,3,warm-start,False,116138245.00903231,1.0,2,0.9999717303758987
cchex__Cy__pTol,0.0,9.485667423455604,9.399842334587674,9.528711552647698,aaa85c8f-b8be-4c99-b96c-204dc5b614d8,,2026-08-06 20:27:13.791982+00:00,4,warm-start,True,116138245.00903231,1.0,2,0.9999717303758987
cchex__iPr__Ph,0.0,9.485667423455604,9.399842334587674,8.528711552647698,42b89477-b622-481d-97ac-adba061a46ae,2f7facbf-d91a-4eee-8be2-f88dddfe772b,2026-08-06 20:47:33.396471+00:00,5,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__Et__Et,0.0,9.485667423455604,9.399842334587674,7.0,269cb350-98a6-428f-8220-7e06374c6746,812005a3-af51-4835-8828-5fc92a8d4f7a,2026-08-06 20:58:03.152914+00:00,6,BO,True,116138245.00903231,1.0,2,0.9999717303758987
eth__iPr__iPr,0.0,9.485667423455604,9.399842334587674,7.0,099335e9-ad71-4253-8b48-3be3d560b485,c5c8e47e-4a7d-44b1-b12f-16656ff4f8e4,2026-08-06 21:12:02.428772+00:00,7,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__iPr__Cy,0.0,9.485667423455604,9.399842334587674,8.0,726a02b3-7c36-4899-bb20-1b2687beff28,2c0726c9-0d3b-4056-a3ad-a10392f3c3ad,2026-08-06 21:36:42.414858+00:00,8,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__Me__Et,0.0,9.485667423455604,9.399842334587674,7.0,b60d93f1-92ac-41cf-b849-d4bb3bef10e8,e845226e-d280-4e4c-922e-36a04e325cc5,2026-08-06 21:45:16.253109+00:00,9,BO,True,116138245.00903231,1.0,2,0.9999717303758987
eth__Et__iPr,0.0,9.485667423455604,9.399842334587674,7.0,547be5db-93f0-428a-b12c-309753f18d27,cc299655-1289-484f-abe5-5857e402ceb2,2026-08-06 21:54:48.218899+00:00,10,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__Et__pTol,0.0,9.485667423455604,9.399842334587674,8.0,66ef6369-2857-44fc-bfed-8cb6a1fa168b,55474536-463d-405d-8921-6f021d6d8434,2026-08-06 22:13:48.498421+00:00,11,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__iPr__pAnisyl,0.0,9.485667423455604,9.399842334587674,8.0,9c8fdb19-2b65-41b1-8c6b-bd43d323d194,ebd54bbb-a25e-44c8-b2d4-bfcc4f361343,2026-08-06 22:32:27.203321+00:00,12,BO,True,116138245.00903231,1.0,2,0.9999717303758987
prop__Cy__Cy,-100.0,-100.0,-100.0,100.0,7b43329a-1a99-473f-a240-e5387abc975c,7fd70b9c-56ec-4890-ab94-907b5cb7cdeb,2026-08-06 23:06:08.203956+00:00,13,BO,False,116138245.00903231,1.0,2,0.9999717303758987
eth__Et__Et,-100.0,-100.0,-100.0,100.0,d3fd6de2-c274-463c-ba85-2b1e34625de9,a587833a-9b28-49ea-8fec-df0af7d75d37,2026-08-06 23:39:37.134316+00:00,14,BO,False,116138245.00903231,1.0,2,0.9999717303758987
