eval,candidate,ok,selectivity_proxy,capacity_proxy_cm3_g,scalarized_desirability,best_so_far
1,ths_N718_E4,False,0.0,0.0,0.0,0.0
2,pts_N59_E88,False,0.0,0.0,0.0,0.0
3,nbo_N632_E85,False,0.0,0.0,0.0,0.0
4,pcu_N295_E161,True,0.0054053626023808565,5.02762,0.03313140685264584,0.03313140685264584
5,bcu_N12_E78,False,0.0,0.0,0.0,0.03313140685264584
6,bcu_N682_E88,False,0.0,0.0,0.0,0.03313140685264584
7,pcu_N679_E4,False,0.0,0.0,0.0,0.03313140685264584
8,pts_N679_E161,False,0.0,0.0,0.0,0.03313140685264584
9,pts_N477_E177,False,0.0,0.0,0.0,0.03313140685264584
10,pcu_N295_E88,True,1.0,1.52422,0.47121495186919327,0.47121495186919327
11,bcu_N295_E161,False,0.0,0.0,0.0,0.47121495186919327
12,pcu_N295_E177,True,0.9341337807673986,1.8325,0.4869260841444052,0.4869260841444052
13,pcu_N295_E78,True,0.3748211340634533,3.31831,0.3569942528097366,0.4869260841444052
14,pcu_N295_E85,True,0.948510625994111,1.35866,0.4359830810712769,0.4869260841444052
15,pcu_N295_E129,True,0.42651309205608096,2.99354,0.3701974698627292,0.4869260841444052
16,pcu_N295_E174,True,0.5490265191803749,1.84969,0.35530029890600423,0.4869260841444052
17,pcu_N295_E226,True,1.0,0.523159,0.30722282647812826,0.4869260841444052
18,pcu_N295_E73,True,1.0,1.23157,0.4326967572887309,0.4869260841444052
19,pcu_N295_E4,True,0.2807803317417302,4.02068,0.32414536320432413,0.4869260841444052
20,dia_N295_E226,False,0.0,0.0,0.0,0.4869260841444052
21,srs_N295_E73,False,0.0,0.0,0.0,0.4869260841444052
22,pcu_N477_E88,False,0.0,0.0,0.0,0.4869260841444052
23,pcu_N59_E177,True,0.7915711544709508,1.44941,0.4013936310312046,0.4869260841444052
24,pcu_N124_E177,False,0.0,0.0,0.0,0.4869260841444052
25,pcu_N59_E73,True,1.0,0.926527,0.38613861263124866,0.4869260841444052
26,pcu_N59_E85,True,1.0,1.03986,0.4043802617666803,0.4869260841444052
27,pcu_N682_E177,False,0.0,0.0,0.0,0.4869260841444052
28,pcu_N59_E88,True,1.0,1.15889,0.4222959206118935,0.4869260841444052
29,pcu_N59_E129,True,0.30404293917071,2.48678,0.2805536347696321,0.4869260841444052
30,pcu_N12_E85,False,0.0,0.0,0.0,0.4869260841444052
