eval,param_topology,param_node,param_edge,obj_selectivity_proxy,obj_capacity_proxy,result_id,suggestion_id,created_at,scalarized_desirability,best_so_far,candidate,selectivity_proxy,capacity_proxy_cm3_g
1,ths,N718,E4,0.0,0.0,5d0f9cc3-b3ca-4d7e-9c56-31f2466d9e7d,8be0cc48-43e7-41e7-9138-f14502c781d5,2026-08-12T15:40:56.514553+00:00,0.0,0.0,ths_N718_E4,0.0,0.0
2,pts,N59,E88,0.0,0.0,9a421355-e022-4f74-a73a-84a69b7a3de2,2723d80f-fe9e-49a5-84b5-148f40bbbbdc,2026-08-12T15:40:56.651023+00:00,0.0,0.0,pts_N59_E88,0.0,0.0
3,nbo,N632,E85,0.0,0.0,33f41a6b-74a3-4de2-a5a2-01b3c4422246,fc2b09c5-a5da-4e72-bfe3-04bbdeaf44db,2026-08-12T15:40:56.782314+00:00,0.0,0.0,nbo_N632_E85,0.0,0.0
4,pcu,N295,E161,0.0054053626023808,5.02762,3d222559-f266-4323-996e-929f7c9ce0e3,1accb772-d551-4c0a-9bf1-26037b02a70b,2026-08-12T15:41:05.640323+00:00,0.03313140685264564,0.03313140685264564,pcu_N295_E161,0.0054053626023808,5.02762
5,bcu,N12,E78,0.0,0.0,7e340e6d-2daa-4fe2-9540-843c781143fe,5f883ce8-ce3a-4617-a97e-53f4b6142b24,2026-08-12T15:41:05.766064+00:00,0.0,0.03313140685264564,bcu_N12_E78,0.0,0.0
6,bcu,N682,E88,0.0,0.0,6ccbae95-1799-469e-aff4-421bae6abcb8,69031a0e-03b6-422b-8dd8-7b00d042eae4,2026-08-12T15:41:05.891926+00:00,0.0,0.03313140685264564,bcu_N682_E88,0.0,0.0
7,pcu,N679,E4,0.0,0.0,942628a4-85a2-40da-9ba8-f3f00752856e,ad1f7678-851e-4b8c-b7c4-aaf723f66cb0,2026-08-12T15:41:06.336115+00:00,0.0,0.03313140685264564,pcu_N679_E4,0.0,0.0
8,pts,N679,E161,0.0,0.0,6f2520b3-08df-459f-8a0b-4497fd8015e8,a44d2806-232b-49bf-8e7e-83ab7142fadf,2026-08-12T15:41:06.451692+00:00,0.0,0.03313140685264564,pts_N679_E161,0.0,0.0
9,pts,N477,E177,0.0,0.0,a6ca3c00-b602-42f7-b650-214c1a9a0a09,b6483c2c-095c-4ea6-ba3c-7e7419865e0e,2026-08-12T15:41:06.563885+00:00,0.0,0.03313140685264564,pts_N477_E177,0.0,0.0
10,pcu,N295,E88,1.0,1.52422,bb694d14-11b0-4453-99c0-5999f1054d46,ec165d51-be15-4699-82b2-a80b2863683e,2026-08-12T15:41:10.555148+00:00,0.47121495186919327,0.47121495186919327,pcu_N295_E88,1.0,1.52422
11,bcu,N295,E161,0.0,0.0,eab52d7e-ec66-4521-b8ae-7d5cffdc9388,5bb1102f-58e6-469f-92b4-311c22826678,2026-08-12T15:41:10.673773+00:00,0.0,0.47121495186919327,bcu_N295_E161,0.0,0.0
12,pcu,N295,E177,0.9341337807673986,1.8325,8843e4bd-383b-48bb-a241-e63fcfd19831,eb3ff06f-d3d6-4935-ba86-7e82d94b2208,2026-08-12T15:41:14.251264+00:00,0.4869260841444052,0.4869260841444052,pcu_N295_E177,0.9341337807673986,1.8325
13,pcu,N295,E78,0.3748211340634533,3.31831,341602ba-19b6-48a0-b06c-a1c996e14d54,a9f6c348-85fe-4492-acf0-f2278b62e27f,2026-08-12T15:41:19.664165+00:00,0.3569942528097366,0.4869260841444052,pcu_N295_E78,0.3748211340634533,3.31831
14,pcu,N295,E85,0.948510625994111,1.35866,72864653-e27f-4b49-81d4-589236f1b359,e87f8513-fbdf-4d80-bb08-83f24e9bd201,2026-08-12T15:41:22.948374+00:00,0.4359830810712769,0.4869260841444052,pcu_N295_E85,0.948510625994111,1.35866
15,pcu,N295,E129,0.4265130920560809,2.99354,e15432d5-3369-49f5-9836-ce9ea4387600,a085f44a-a67e-42de-a40b-efd1d7775697,2026-08-12T15:41:27.492545+00:00,0.37019746986272917,0.4869260841444052,pcu_N295_E129,0.4265130920560809,2.99354
16,pcu,N295,E174,0.5490265191803749,1.84969,c0e0a1ca-67c0-4bff-a853-35edd361669f,e7b6ee74-3932-4be5-8edc-c27550e0e4bb,2026-08-12T15:41:34.951878+00:00,0.35530029890600423,0.4869260841444052,pcu_N295_E174,0.5490265191803749,1.84969
17,pcu,N295,E226,1.0,0.523159,e63c0cb3-60ec-49d6-afc5-d82efee46900,b4d0ce05-1d5e-42d0-b946-f44f463e0ac0,2026-08-12T15:41:38.142700+00:00,0.30722282647812826,0.4869260841444052,pcu_N295_E226,1.0,0.523159
18,pcu,N295,E73,1.0,1.23157,05022561-3b7b-4901-a28c-c409af8d2731,271a1bd0-dc08-4b7b-b531-5c6e20aca415,2026-08-12T15:41:41.174005+00:00,0.4326967572887309,0.4869260841444052,pcu_N295_E73,1.0,1.23157
19,pcu,N295,E4,0.2807803317417302,4.02068,392d479f-e80f-40c0-abef-32abdee629a6,16c43867-9db3-4d02-bd57-445da5ddcee8,2026-08-12T15:41:47.275741+00:00,0.32414536320432413,0.4869260841444052,pcu_N295_E4,0.2807803317417302,4.02068
20,dia,N295,E226,0.0,0.0,749caa85-f6af-45a7-9ff5-3b8244f10ec8,577f3721-f25b-4ce9-9826-469b4cbda26b,2026-08-12T15:41:47.407932+00:00,0.0,0.4869260841444052,dia_N295_E226,0.0,0.0
21,srs,N295,E73,0.0,0.0,35baff94-cb33-4625-aadb-eb4171126b22,ffc5f83a-0f65-4f8f-ace2-5f8cc31707b1,2026-08-12T15:41:47.533595+00:00,0.0,0.4869260841444052,srs_N295_E73,0.0,0.0
22,pcu,N477,E88,0.0,0.0,c9427023-759a-4029-bba3-093e12514c4e,0941bc44-4aed-4e57-8979-4f4f609a2ca8,2026-08-12T15:41:50.142354+00:00,0.0,0.4869260841444052,pcu_N477_E88,0.0,0.0
23,pcu,N59,E177,0.7915711544709508,1.44941,a40d688b-7679-4b49-871a-41da276566e5,69387629-940e-4820-9a73-4eb580e4ec90,2026-08-12T15:41:53.596983+00:00,0.4013936310312046,0.4869260841444052,pcu_N59_E177,0.7915711544709508,1.44941
24,pcu,N124,E177,0.0,0.0,a0c21d5b-5fee-4658-af4e-db8192bf9cac,92886f44-3815-44c6-8444-d090693a63bb,2026-08-12T15:41:53.719636+00:00,0.0,0.4869260841444052,pcu_N124_E177,0.0,0.0
