eval_in_export,param_candidate_id,obj_selectivity_proxy,obj_capacity_proxy,result_id,suggestion_id,created_at,phase,new_eval,candidate,selectivity_proxy,capacity_proxy_cm3_g,scalarized_desirability,best_so_far
1,pcu|N295|E88,1.0,1.52422,bca5e989-f658-4039-a643-408bc41e35ab,,2026-08-12T16:35:47.105103+00:00,seed,0,pcu_N295_E88,1.0,1.52422,0.47121495186919327,0.47121495186919327
2,pcu|N295|E73,1.0,1.23157,a0ddc15b-63fa-4716-9c39-fd3f5d35c969,,2026-08-12T16:35:47.105116+00:00,seed,0,pcu_N295_E73,1.0,1.23157,0.4326967572887309,0.47121495186919327
3,pcu|N59|E88,1.0,1.15889,365bf706-dbc5-45f3-ac3c-789327084db5,,2026-08-12T16:35:47.105124+00:00,seed,0,pcu_N59_E88,1.0,1.15889,0.4222959206118935,0.47121495186919327
4,pcu|N59|E85,1.0,1.03986,28f1cef1-9bcf-4a3a-86d3-7a797b45dc86,,2026-08-12T16:35:47.105131+00:00,seed,0,pcu_N59_E85,1.0,1.03986,0.4043802617666803,0.47121495186919327
5,pcu|N59|E73,1.0,0.926527,904644c7-8d05-4ed9-8af8-42e9989da9d1,,2026-08-12T16:35:47.105138+00:00,seed,0,pcu_N59_E73,1.0,0.926527,0.38613861263124866,0.47121495186919327
6,pcu|N295|E177,0.9341337807673986,1.8325,a5e87afe-6788-491f-9c9f-6cdaf9e1b4cd,,2026-08-12T16:35:47.105145+00:00,seed,0,pcu_N295_E177,0.9341337807673986,1.8325,0.4869260841444052,0.4869260841444052
7,pcu|N295|E85,0.948510625994111,1.35866,0b5b5af2-67f5-4d64-8d38-9918c0d2b32f,,2026-08-12T16:35:47.105152+00:00,seed,0,pcu_N295_E85,0.948510625994111,1.35866,0.4359830810712769,0.4869260841444052
8,pcu|N295|E226,1.0,0.523159,54ea18c5-e0ea-477d-9a81-8899752a0afa,,2026-08-12T16:35:47.105158+00:00,seed,0,pcu_N295_E226,1.0,0.523159,0.30722282647812826,0.4869260841444052
9,pcu|N59|E177,0.7915711544709508,1.44941,6bbbed33-f24a-459d-a0af-0502a757568a,,2026-08-12T16:35:47.105166+00:00,seed,0,pcu_N59_E177,0.7915711544709508,1.44941,0.4013936310312046,0.4869260841444052
10,pcu|N295|E174,0.5490265191803749,1.84969,10f4fb6f-bd91-45f4-9f83-e266ecdbe1d2,,2026-08-12T16:35:47.105172+00:00,seed,0,pcu_N295_E174,0.5490265191803749,1.84969,0.35530029890600423,0.4869260841444052
11,pcu|N295|E129,0.4265130920560809,2.99354,c9814143-c401-4db3-9634-e04cb628625d,,2026-08-12T16:35:47.105179+00:00,seed,0,pcu_N295_E129,0.4265130920560809,2.99354,0.37019746986272917,0.4869260841444052
12,pcu|N295|E78,0.3748211340634533,3.31831,8fcf4409-1d09-4279-b873-79c63b02cf75,,2026-08-12T16:35:47.105186+00:00,seed,0,pcu_N295_E78,0.3748211340634533,3.31831,0.3569942528097366,0.4869260841444052
