"param_Ethanol","param_SDS","obj_static_contact_angle","result_id","suggestion_id","created_at"
"0.0","0.6","71.403","29ecd745-dd5f-4c5d-a9a8-40d7aa4fb9ab","","2026-07-15T16:50:10.455042+00:00"
"15.0","0.35","72.673","11ef0ee5-bd79-422f-a766-8278e764bc9e","","2026-07-15T16:53:38.259148+00:00"
"0.0","0.815282","70.592","b14afe16-61a9-4cdc-a399-6f30bc8c904d","b189fddd-3b90-4d8b-b02a-17a5023e4076","2026-07-15T16:56:40.248835+00:00"
"0.0","1.0","70.268","76f48e35-edd7-4729-94c0-e610fe86db6a","3e819399-4529-4c5a-b43d-c0933f07c543","2026-07-15T17:00:10.290080+00:00"
"10.370321","1.0","70.836","3705cede-1289-4e08-acaf-c2f6f209f810","70fd3fd8-29f5-46ce-bc40-05485bcbdb7b","2026-07-15T17:09:17.720473+00:00"
"60.0","1.0","180.0","658c8e11-c98f-4ee8-9efe-5ed6c3e93fc4","4610455c-6b44-43de-9870-9108edba6cca","2026-07-15T17:09:18.180893+00:00"
"2.897363","0.924759","72.745","14fa21ef-79dd-4792-8e11-845e8ec19c82","23cc1f97-bae8-4b2f-bfcf-392a5232d24f","2026-07-15T17:13:01.617996+00:00"
"3.851089","0.611513","72.581","0d9bc8aa-7719-41e4-8a23-2935a9434736","ac4feee7-7d64-4004-9a11-f56ca3ccb461","2026-07-15T17:17:01.788596+00:00"
"8.938976","0.37568","74.38","69f4351b-fd2d-47a7-aa47-4e1ba088340f","5d56e2c2-a940-4d54-95bf-b05dd66894bb","2026-07-15T17:21:15.542922+00:00"
"12.342763","0.800836","71.921","cc7e1797-60c5-4675-9fa1-e1eab8e289e3","6a70ef89-4994-45b9-8356-26434506a2da","2026-07-15T17:24:50.471970+00:00"
"15.452222","1.0","71.403","30333c53-14d7-4ece-9c86-fca00a9970f3","dd43b8b6-1c2f-4a28-a672-6a0d512fb65a","2026-07-15T17:28:46.895359+00:00"
"18.374755","0.615662","71.681","8a5b3977-f138-4f0a-8247-5aee249a09d0","ba4a7be1-9cab-4ee0-8df9-361938b090de","2026-07-15T17:32:25.143321+00:00"
"0.0","0.204732","75.0","4ae713d1-ee76-409e-b163-a381ccf640db","a42ca832-0b37-49f2-bab9-ca95797325f3","2026-07-15T17:36:03.806880+00:00"
"19.941169","0.057213","74.79","2a54f0d4-b5a1-4e09-8373-bf949005ca9b","cf2696f0-dec5-43cc-9321-9adbbe36e2d1","2026-07-15T17:39:45.965128+00:00"
