"param_Ethanol","param_SDS","obj_static_contact_angle","result_id","suggestion_id","created_at"
"0.0","0.6","71.403","d1bb435d-941a-43b1-a3bc-f5616569bb11","","2026-07-15T17:50:36.538346+00:00"
"15.0","0.35","72.673","2ee40d0d-1e7c-4556-8f9a-ecc26247e460","","2026-07-15T17:50:36.538363+00:00"
"0.0","0.815282","70.592","f92ca12e-0d77-4c79-b5a6-e1f6400c1f28","","2026-07-15T17:50:36.538371+00:00"
"0.0","1.0","70.268","94a9d40c-4286-465c-9b5d-b5083b579b62","","2026-07-15T17:50:36.538379+00:00"
"10.370321","1.0","70.836","bb854618-5ed1-4b29-9efe-c991f35735b4","","2026-07-15T17:50:36.538385+00:00"
"2.897363","0.924759","72.745","c880e549-d038-4b00-940d-412a7edbcb11","","2026-07-15T17:50:36.538391+00:00"
"3.851089","0.611513","72.581","57ffb34e-c22c-410c-acc0-52c4840ba956","","2026-07-15T17:50:36.538422+00:00"
"8.938976","0.37568","74.38","6ec7ded9-08db-4faf-85ff-7cf4ceaa5a22","","2026-07-15T17:50:36.538430+00:00"
"12.342763","0.800836","71.921","b32f47e9-413f-4d5f-80dc-b96c19df82df","","2026-07-15T17:50:36.538435+00:00"
"15.452222","1.0","71.403","44456cd6-036d-429c-8888-9d5c9ef4004e","","2026-07-15T17:50:36.538441+00:00"
"18.374755","0.615662","71.681","d793e15c-4a72-446b-a129-50e35e54dc93","","2026-07-15T17:50:36.538458+00:00"
"0.0","0.204732","75.0","7e2d2200-7cb3-44ba-9666-2dbafa2abe78","","2026-07-15T17:50:36.538465+00:00"
"19.941169","0.057213","74.79","e923ca38-355f-4aa8-abe6-f990e3103d70","","2026-07-15T17:50:36.538471+00:00"
"20.828506","1.0","71.0","2427635d-9887-4575-a4e7-4819549b5409","6c2bd4cd-789d-4163-a346-e34cc808d0db","2026-07-15T17:54:08.323464+00:00"
"32.143061","1.0","68.61","cbacdfcc-1495-4aa1-935c-0b665713e76b","87dbceda-b898-4666-a2ca-24877ce50240","2026-07-15T17:58:09.836164+00:00"
