run_id,phase,bo_campaign_id,platform_campaign,sample_or_note,status,success,submitted_to_bo,requested_at,started_at,finished_at,run_min,occupied_min,catalyst,catalyst_equiv,oxidant,oxidant_equiv,TFAA_equiv,light_intensity_pct,residence_time_min,slug_volume_uL,SM_conc_mM,collect_crude,n_SM_umol,SM_mg,SM_stock_uL,catalyst_umol,catalyst_mg,catalyst_stock_uL,TFAA_umol,TFAA_mg,TFAA_stock_uL,oxidant_umol,oxidant_mg,oxidant_stock_uL,yield_pct,green_score,nmr_pass,nmr_peak_width_ppm,notes
R0028,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-01,completed,True,,2026-07-23T16:08:50.744681+00:00,2026-07-23T16:22:33.489617+00:00,2026-07-23T16:45:28.322510+00:00,22.91,36.63,Ru bpy Cl,0.001,py NO,0.9,0.9,0.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,0.0,,True,0.0,
R0029,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-02,completed,True,,2026-07-23T16:45:33.107175+00:00,2026-07-23T17:00:59.853295+00:00,2026-07-23T19:05:23.502285+00:00,124.39,139.84,Ru bpy PF6,0.004,4-Ph py NO,3.0,3.5,100.0,90.0,650.0,100.0,False,65.0,13.6013,65.28,0.26,0.22348,74.49,227.5,47.7818,64.35,195.0,33.384,123.64,0.0,,True,0.0,
R0030,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-03,completed,True,,2026-07-23T19:05:35.758037+00:00,2026-07-23T19:20:59.924648+00:00,2026-07-23T20:09:40.525487+00:00,48.68,64.08,Ir ppy,0.001,py NO,3.0,3.5,75.0,24.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04256,22.64,227.5,47.7818,64.35,195.0,18.5445,98.85,0.0,,True,0.0,
R0031,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-04,completed,True,,2026-07-23T20:09:46.255395+00:00,2026-07-23T20:25:06.976527+00:00,2026-07-23T22:03:49.988029+00:00,98.72,114.06,Ir CF3 ppy,0.004,4-Ph py NO,0.9,0.9,25.0,68.0,650.0,100.0,False,65.0,13.6013,65.28,0.26,0.2917,104.93,58.5,12.2868,16.55,58.5,10.0152,37.09,0.0,,True,0.0,
R0032,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-05,completed,True,,2026-07-23T22:03:56.738424+00:00,2026-07-23T22:19:26.450670+00:00,2026-07-23T23:33:10.369875+00:00,73.73,89.23,4CzIPN,0.0025,py NO,1.95,2.2,50.0,46.0,650.0,100.0,False,65.0,13.6013,65.28,0.1625,0.12413,26.41,143.0,30.0343,40.45,126.75,12.0539,64.25,0.0,,True,0.0,
R0033,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-06,completed,True,,2026-07-23T23:33:16.624607+00:00,2026-07-23T23:48:36.800937+00:00,2026-07-24T01:52:31.096767+00:00,123.9,139.24,Ru bpy Cl,0.00325,4-Ph py NO,2.475,1.55,75.0,90.0,650.0,100.0,False,65.0,13.6013,65.28,0.21125,0.15815,74.6,100.75,21.1605,28.5,160.875,27.5418,102.01,0.0,,True,0.0,
R0034,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-07,completed,True,,2026-07-24T01:52:38.793229+00:00,2026-07-24T02:07:57.458217+00:00,2026-07-24T02:32:07.325175+00:00,24.16,39.48,Ir ppy,0.00175,4-Ph py NO,1.425,2.85,25.0,2.0,650.0,100.0,False,65.0,13.6013,65.28,0.11375,0.07448,39.62,185.25,38.9081,52.4,92.625,15.8574,58.73,0.0,,True,0.0,
R0035,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-seed-08,completed,True,,2026-07-24T02:32:10.671654+00:00,2026-07-24T02:47:28.739376+00:00,2026-07-24T03:36:12.614036+00:00,48.73,64.03,4CzIPN,0.004,py NO,0.9,3.5,100.0,24.0,650.0,100.0,False,65.0,13.6013,65.28,0.26,0.19861,42.26,227.5,47.7818,64.35,58.5,5.5633,29.66,0.0,,True,0.0,
R0036,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-e4bfdc82-a527-44bb-bfb5-6b0055de21c9,completed,True,,2026-07-24T03:37:18.842610+00:00,2026-07-24T03:51:43.976453+00:00,2026-07-24T04:50:10.491762+00:00,58.44,72.86,Ru bpy Cl,0.0016982326777002293,py NO,0.9,1.0703509695691584,0.0,32.9969,650.0,100.0,False,65.0,13.6013,65.28,0.11039,0.08264,38.98,69.5728,14.6124,19.68,58.5,5.5633,29.66,0.0,,True,0.0,
R0037,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-b243db70-ee5f-45e9-ab34-c41c212907e4,completed,True,,2026-07-24T04:51:12.889079+00:00,2026-07-24T05:05:36.850382+00:00,2026-07-24T05:32:56.512361+00:00,27.33,41.73,Ru bpy Cl,0.001005903997689443,py NO,1.1005352424420427,2.1025753999134107,0.0,5.2743,650.0,100.0,False,65.0,13.6013,65.28,0.06538,0.04895,23.09,136.6674,28.7043,38.65,71.5348,6.803,36.26,0.0,,True,0.0,
