"param_catalyst_type","param_oxidant_type","param_catalyst_equiv","param_TFAA_equiv","param_oxidant_equiv","param_light_intensity","param_residence_time_min","obj_yield_percent","result_id","suggestion_id","created_at"
"4CzIPN","py NO","0.0025","2.2","1.8","50","30.0","0.0","c2da2ebb-24d5-4eb7-9352-eaf37e46cbe7","","2026-07-27T01:39:36.589005+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","75","10.0","30.037732281591182","19d4f61c-b11a-4d02-96d3-c4d757fd0488","","2026-07-27T01:39:36.627511+00:00"
"Ir CF3 ppy","4-Ph py NO","0.004","3.5","3.0","100","75.0","15.766697453699585","528ee4d0-6629-4e04-8bda-274e1bf0a3fd","","2026-07-27T01:39:36.689097+00:00"
"Ir ppy","py NO","0.002","1.4","2.4","25","45.0","11.930255522523904","a6a505fd-b053-4908-a166-23c68dc4821a","","2026-07-27T01:39:36.725884+00:00"
"Ru bpy PF6","4-Ph py NO","0.0035","3.0","1.2","75","20.0","13.136061617657441","b3f25e5e-e4f0-497b-a1f3-1f8e48e5b9af","","2026-07-27T01:39:36.767408+00:00"
"4CzIPN","4-Ph py NO","0.0015","1.7","2.5","50","90.0","7.574024955754647","85ceae18-cf45-4b00-ae8b-ff206e8a01c2","","2026-07-27T01:39:36.804058+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","100","2.0","15.229219976533518","4de056ae-2c6a-49ec-b4e8-40eca93764ea","","2026-07-27T01:39:36.840587+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","75","32.147054044602015","27.638363856448734","48230482-3d6b-4a42-aabe-96e7c5b27e6d","","2026-07-27T01:39:36.889816+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","50","2.0","11.557190298459707","079c6eb3-22e5-4cfa-982e-3489a6a24692","","2026-07-27T01:39:36.923255+00:00"
"Ru bpy Cl","py NO","0.001","0.9","1.3481518445267229","75","2.0","14.699271910593101","acab95db-bafd-4641-af08-71d79b9c360b","","2026-07-27T01:39:36.971316+00:00"
"Ru bpy Cl","py NO","0.001","1.3879550089626604","0.9","75","2.0","15.82322454684414","47ac5563-31dc-4810-8c27-26547099b3ae","","2026-07-27T01:39:37.014234+00:00"
"Ru bpy Cl","py NO","0.001","0.9392429564290667","0.9","75","15.385","32.9582189108561","e71c6d8c-6cc2-45f9-82d6-6583a1d27df9","","2026-07-27T01:39:37.050994+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","100","17.148333333333333","27.19849254238004","2b27ce71-9f3a-4322-a146-77a75a604073","","2026-07-27T01:39:37.094483+00:00"
"Ru bpy Cl","py NO","0.001","0.9","0.9","50","20.791666666666668","32.68287722998345","1abd8aa7-edb2-407e-bc86-4ea1a2d7b801","","2026-07-27T01:39:37.131971+00:00"
"Ru bpy Cl","py NO","0.001","1.57791518151435","0.9","50","17.89","35.77595269858751","eb91ad21-511b-4807-bda0-738c610cfe8d","","2026-07-27T01:39:37.174246+00:00"
"Ru bpy Cl","py NO","0.0015895931399105652","1.588655546840804","0.9","50","16.396666666666665","36.54768450235394","946210da-e721-47db-bfac-01fbf19545a0","","2026-07-27T01:39:37.214821+00:00"
"Ru bpy Cl","py NO","0.0012551564527834074","1.6156597192651254","1.4410604139317433","50","16.428333333333335","48.50520336395255","79ee31bc-b58e-4c9e-9073-97845d05a10f","","2026-07-27T01:39:37.250297+00:00"
"Ru bpy Cl","py NO","0.0010327647764327823","1.576838763587787","1.7504175843136747","50","17.011666666666667","20.17560599224093","32cc1c45-3bac-476f-ac45-8d6b47dd83a4","","2026-07-27T01:39:37.288532+00:00"
"Ru bpy Cl","py NO","0.0011562499295373239","1.5559624699508112","1.29960973315381","50","16.805","45.093425213199836","50d093a0-9ebf-46dd-a862-7e75b06b1fdc","","2026-07-27T01:39:37.331602+00:00"
"Ru bpy Cl","py NO","0.0012148856753842118","1.4044945005711598","1.4011655894317083","25","19.39","0.0","0d2b96ff-c280-46a6-97bd-e6991d9a810d","","2026-07-27T01:39:37.376629+00:00"
"Ru bpy Cl","py NO","0.001891918287517448","1.9967805730581698","1.3920495769768648","50","14.173333333333334","58.811244776605555","68b2aaad-a1f4-45b3-8613-ba8d8da4e063","cc26e7f1-b8fc-477f-b476-d9e9fe3e1fa9","2026-07-27T02:21:24.229870+00:00"
