catalyst_type,oxidant_type,catalyst_equiv,TFAA_equiv,oxidant_equiv,light_intensity,residence_time_min,yield_percent,green_score,suggestion_id,result_id,created_at,valid_bo_result,status,source,experiment,stage,roboflex_run_id,roboflex_status,roboflex_error,result_pass,sample_name
4CzIPN,py NO,0.0025,2.2,1.8,50,30.0,0.0,,,c2da2ebb-24d5-4eb7-9352-eaf37e46cbe7,2026-07-27T01:39:36.589005+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,1.0,seed,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,75,10.0,30.037732281591182,,,19d4f61c-b11a-4d02-96d3-c4d757fd0488,2026-07-27T01:39:36.627511+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,2.0,seed,,,,,
Ir CF3 ppy,4-Ph py NO,0.004,3.5,3.0,100,75.0,15.766697453699583,,,528ee4d0-6629-4e04-8bda-274e1bf0a3fd,2026-07-27T01:39:36.689097+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,3.0,seed,,,,,
Ir ppy,py NO,0.002,1.4,2.4,25,45.0,11.930255522523904,,,a6a505fd-b053-4908-a166-23c68dc4821a,2026-07-27T01:39:36.725884+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,4.0,seed,,,,,
Ru bpy PF6,4-Ph py NO,0.0035,3.0,1.2,75,20.0,13.13606161765744,,,b3f25e5e-e4f0-497b-a1f3-1f8e48e5b9af,2026-07-27T01:39:36.767408+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,5.0,seed,,,,,
4CzIPN,4-Ph py NO,0.0015,1.7,2.5,50,90.0,7.574024955754647,,,85ceae18-cf45-4b00-ae8b-ff206e8a01c2,2026-07-27T01:39:36.804058+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,6.0,seed,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,100,2.0,15.229219976533518,,,4de056ae-2c6a-49ec-b4e8-40eca93764ea,2026-07-27T01:39:36.840587+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,7.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,75,32.147054044602015,27.63836385644873,,,48230482-3d6b-4a42-aabe-96e7c5b27e6d,2026-07-27T01:39:36.889816+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,8.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,50,2.0,11.557190298459709,,,079c6eb3-22e5-4cfa-982e-3489a6a24692,2026-07-27T01:39:36.923255+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,9.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9,1.3481518445267229,75,2.0,14.6992719105931,,,acab95db-bafd-4641-af08-71d79b9c360b,2026-07-27T01:39:36.971316+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,10.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,1.3879550089626604,0.9,75,2.0,15.82322454684414,,,47ac5563-31dc-4810-8c27-26547099b3ae,2026-07-27T01:39:37.014234+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,11.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9392429564290669,0.9,75,15.385,32.9582189108561,,,e71c6d8c-6cc2-45f9-82d6-6583a1d27df9,2026-07-27T01:39:37.050994+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,12.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,100,17.148333333333333,27.19849254238004,,,2b27ce71-9f3a-4322-a146-77a75a604073,2026-07-27T01:39:37.094483+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,13.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,0.9,0.9,50,20.791666666666668,32.68287722998345,,,1abd8aa7-edb2-407e-bc86-4ea1a2d7b801,2026-07-27T01:39:37.131971+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,14.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.001,1.57791518151435,0.9,50,17.89,35.77595269858751,,,eb91ad21-511b-4807-bda0-738c610cfe8d,2026-07-27T01:39:37.174246+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,15.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0015895931399105,1.588655546840804,0.9,50,16.396666666666665,36.54768450235394,,,946210da-e721-47db-bfac-01fbf19545a0,2026-07-27T01:39:37.214821+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,16.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0012551564527834,1.6156597192651254,1.4410604139317431,50,16.428333333333335,48.50520336395255,,,79ee31bc-b58e-4c9e-9073-97845d05a10f,2026-07-27T01:39:37.250297+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,17.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0010327647764327,1.576838763587787,1.750417584313675,50,17.011666666666667,20.17560599224093,,,32cc1c45-3bac-476f-ac45-8d6b47dd83a4,2026-07-27T01:39:37.288532+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,18.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0011562499295373,1.5559624699508112,1.29960973315381,50,16.805,45.09342521319984,,,50d093a0-9ebf-46dd-a862-7e75b06b1fdc,2026-07-27T01:39:37.331602+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,19.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0012148856753842,1.4044945005711598,1.4011655894317083,25,19.39,0.0,,,0d2b96ff-c280-46a6-97bd-e6991d9a810d,2026-07-27T01:39:37.376629+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,20.0,mixed-objective BO,,,,,
Ru bpy Cl,py NO,0.0018919182875174,1.9967805730581696,1.3920495769768648,50,14.173333333333334,58.81124477660556,,cc26e7f1-b8fc-477f-b476-d9e9fe3e1fa9,68b2aaad-a1f4-45b3-8613-ba8d8da4e063,2026-07-27T02:21:24.229870+00:00,True,valid,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/bo_campaign_export.csv,21.0,yield-only BO,,,,,
Ru bpy Cl,py NO,0.0011562499295373239,1.5559624699508112,1.29960973315381,50,16.805023929866234,27.04493570345765,,5c5570bd-dd17-4366-8685-0863402167f6,,2026-07-25T20:01:36.192879+00:00,False,failed/not submitted,artifacts/recreated_robochemflex_yield_bo_20260725/resume_from18_to20_20260725T191436Z/measurement19,,failed/not submitted,R0063,failed,,False,bo_5c5570bd-d
Ru bpy Cl,py NO,0.0011562499295373239,1.5559624699508112,1.29960973315381,50,16.805023929866234,25.690722565035262,,5c5570bd-dd17-4366-8685-0863402167f6,,2026-07-25T21:13:36.605246+00:00,False,failed/not submitted,artifacts/recreated_robochemflex_yield_bo_20260725/failed_measurement_retry_continuation_20260725T203233Z/measurement19_retry_r2,,failed/not submitted,R0064,failed,,False,bo_5c5570bd-d_r2
Ru bpy Cl,py NO,0.0012551564527834074,1.6156597192651254,1.4410604139317433,50,16.428648427237196,25.027637631355404,,a9f8598d-edd7-48fa-bbf6-b94ca3618912,,2026-07-25T12:15:22.266628+00:00,False,failed/not submitted,artifacts/recreated_robochemflex_yield_bo_20260725/autonomous_continuation_20260725T053043Z/measurement17,,failed/not submitted,R0060,failed,,False,bo_a9f8598d-e
Ru bpy Cl,py NO,0.0022452457086006112,2.301668795918735,1.355256776264335,50,21.55044544824578,,,31d5114e-3796-4b21-9d5f-d7e9a31378b0,,2026-07-27T03:20:37.779396+00:00,False,failed/not submitted,artifacts/yield_only_robochemflex_bo/continuation_20260727T014003Z/measurement22_attempt1,,failed/not submitted,R0068,failed,zero-size array to reduction operation minimum which has no identity,,bo_31d5114e-3
