param_catalyst_type,param_oxidant_type,param_catalyst_equiv,param_TFAA_equiv,param_oxidant_equiv,param_light_intensity,param_residence_time_min,obj_yield_percent,result_id,suggestion_id,created_at,experiment,yield_percent,green_score,green_score_source,stage,pareto_optimal
4CzIPN,py NO,0.0025,2.2,1.8,50,30.0,0.0,f2638e59-a238-49ad-8d6d-913189aa70c2,,2026-07-29T15:58:59.183206+00:00,1,0.0,60.308441558442,computed audit metric,seed,False
Ru bpy Cl,py NO,0.001,0.9,0.9,75,10.0,30.037732281591182,481f9e96-23be-4809-90de-ce98db09ded3,,2026-07-29T15:58:59.220607+00:00,2,30.037732281591182,98.295454545455,computed audit metric,seed,True
Ir CF3 ppy,4-Ph py NO,0.004,3.5,3.0,100,75.0,15.766697453699583,47e57159-24b9-499c-bc99-74ddb9da71a2,,2026-07-29T15:58:59.255611+00:00,3,15.766697453699583,4.261363636364,computed audit metric,seed,False
Ir ppy,py NO,0.002,1.4,2.4,25,45.0,11.930255522523904,8926834b-ac54-4028-9c5f-58f0415ba5c2,,2026-07-29T15:58:59.300846+00:00,4,11.930255522523904,65.947854229104,computed audit metric,seed,False
Ru bpy PF6,4-Ph py NO,0.0035,3.0,1.2,75,20.0,13.13606161765744,e26cade8-6722-4d71-9b98-de95d23a7b1f,,2026-07-29T15:58:59.345152+00:00,5,13.13606161765744,51.567703130203,computed audit metric,seed,False
4CzIPN,4-Ph py NO,0.0015,1.7,2.5,50,90.0,7.574024955754647,3173edf1-fe22-42d5-b5d5-8426b777e3e9,,2026-07-29T15:58:59.405058+00:00,6,7.574024955754647,56.593406593407,computed audit metric,seed,False
Ru bpy Cl,py NO,0.001,0.9,0.9,100,2.0,15.229219976533518,8c8d3d95-a51b-4fdb-9110-adb3f5e5cef2,,2026-07-29T15:58:59.448630+00:00,7,15.229219976533518,100.0,computed audit metric,mixed-objective BO,True
Ru bpy Cl,py NO,0.001,0.9,0.9,75,32.147054044602015,27.638363856448738,bac57316-76d6-451c-8ed6-79b971798728,,2026-07-29T15:58:59.496482+00:00,8,27.638363856448738,93.576622007542,computed audit metric,mixed-objective BO,False
Ru bpy Cl,py NO,0.001,0.9,0.9,50,2.0,11.557190298459709,e3c7e5be-81a5-4514-95c4-a9f66cf7cffe,,2026-07-29T15:58:59.536691+00:00,9,11.557190298459709,100.0,computed audit metric,mixed-objective BO,False
Ru bpy Cl,py NO,0.001,0.9,1.3481518445267229,75,2.0,14.6992719105931,a82ad0da-bf69-4e64-a966-0f4663d4c218,,2026-07-29T15:58:59.575965+00:00,10,14.6992719105931,94.66485899373,computed audit metric,mixed-objective BO,False
